iter	Passed	Remaining
632	10118	21851
633	10132	21831
634	10146	21810
635	10159	21789
636	10176	21775
637	10190	21755
638	10206	21738
639	10222	21722
640	10240	21712
641	10257	21697
642	10273	21680
643	10288	21663
644	10301	21640
645	10321	21633
646	10337	21617
647	10353	21600
648	10368	21584
649	10393	21586
650	10423	21598
651	10447	21600
652	10473	21605
653	10494	21597
654	10512	21587
655	10534	21583
656	10550	21567
657	10565	21548
658	10579	21528
659	10594	21509
660	10609	21492
661	10624	21472
662	10639	21454
663	10654	21437
664	10673	21427
665	10691	21415
666	10709	21402
667	10723	21382
668	10739	21366
669	10757	21353
670	10771	21334
671	10785	21313
672	10799	21294
673	10815	21278
674	10830	21259
675	10843	21237
676	10858	21220
677	10876	21206
678	10892	21191
679	10908	21176
680	10924	21159
681	10941	21144
682	10956	21127
683	10974	21113
684	10989	21096
685	11003	21077
686	11017	21056
687	11033	21040
688	11046	21019
689	11060	20998
690	11073	20977
691	11088	20959
692	11104	20943
693	11121	20928
694	11135	20909
695	11150	20891
696	11165	20872
697	11180	20855
698	11198	20843
699	11212	20823
700	11228	20806
701	11242	20788
702	11257	20770
703	11273	20753
704	11286	20732
705	11300	20712
706	11317	20698
707	11334	20683
708	11350	20668
709	11367	20653
710	11385	20640
711	11403	20628
712	11417	20610
713	11432	20591
714	11448	20575
715	11461	20553
716	11475	20534
717	11493	20521
718	11507	20502
719	11522	20484
720	11535	20462
721	11550	20445
722	11566	20429
723	11582	20412
724	11599	20399
725	11613	20379
726	11628	20362
727	11644	20346
728	11660	20329
729	11674	20309
730	11689	20292
731	11704	20275
732	11719	20257
733	11733	20237
734	11747	20219
735	11764	20203
736	11779	20186
737	11796	20172
738	11809	20151
739	11823	20132
740	11840	20117
741	11857	20103
742	11874	20089
743	11890	20072
744	11906	20057
745	11922	20041
746	11940	20029
747	11954	20010
748	11970	19993
749	11986	19977
750	12003	19963
751	12016	19943
752	12031	19925
753	12048	19910
754	12063	19893
755	12080	19877
756	12093	19858
757	12109	19841
758	12123	19821
759	12137	19803
760	12153	19787
761	12169	19771
762	12187	19758
763	12203	19742
764	12221	19729
765	12234	19709
766	12249	19691
767	12264	19674
768	12278	19654
769	12292	19636
770	12308	19620
771	12323	19603
772	12337	19584
773	12351	19564
774	12367	19548
775	12382	19531
776	12398	19515
777	12416	19502
778	12429	19481
779	12445	19466
780	12461	19450
781	12478	19436
782	12492	19416
783	12507	19399
784	12522	19382
785	12538	19366
786	12555	19351
787	12570	19334
788	12585	19316
789	12599	19298
790	12615	19281
791	12631	19266
792	12644	19246
793	12659	19228
794	12676	19214
795	12690	19195
796	12707	19181
797	12724	19166
798	12738	19147
799	12753	19130
800	12767	19111
801	12785	19098
802	12802	19083
803	12817	19066
804	12832	19049
805	12847	19031
806	12861	19013
807	12875	18994
808	12890	18977
809	12904	18958
810	12920	18942
811	12934	18923
812	12950	18907
813	12964	18889
814	12980	18873
815	12995	18856
816	13011	18840
817	13024	18820
818	13038	18801
819	13054	18785
820	13070	18770
821	13086	18753
822	13100	18736
823	13116	18720
824	13131	18702
825	13147	18687
826	13164	18671
827	13179	18655
828	13196	18641
829	13210	18621
830	13226	18606
831	13242	18590
832	13262	18579
833	13280	18566
834	13297	18553
835	13310	18533
836	13326	18516
837	13338	18496
838	13351	18476
839	13367	18459
840	13384	18445
841	13397	18425
842	13411	18406
843	13425	18388
844	13439	18369
845	13453	18352
846	13467	18332
847	13484	18318
848	13497	18298
849	13511	18280
850	13525	18261
851	13538	18242
852	13552	18222
853	13564	18202
854	13578	18184
855	13593	18166
856	13611	18153
857	13626	18136
858	13641	18119
859	13656	18102
860	13671	18085
861	13687	18070
862	13703	18054
863	13716	18034
864	13730	18016
865	13743	17996
866	13758	17979
867	13772	17961
868	13786	17942
869	13800	17924
